country,state,city,shape,duration_hours,duration_minutes,duration_seconds,comments,date_posted,latitude,longitude,date,time
au,New South Wales,wollongong (nsw&#44 australia),fireball,0.166666667,10.0,600.0,i saw a comet shaped fire ball in the sky moving at an extraordinary speed.,2/12/2000,-34.424,150.893448,22/11/2000,19:50:00
au,Australian Capital Territory,canberra (australia),disk,0.016666667,1.0,60.0,SCARY&#33,23/12/2002,-35.27603,149.13435,22/11/2002,13:00:00
au,Victoria,melbourne (vic&#44 australia),light,0.5,30.0,1800.0,Four lights were circling around in sky&#44 proved fact that lights were not beams from ground&#44 as clouds blocked the lights. UFO.,5/12/2001,-37.813938,144.963425,23/11/2001,21:30:00
au,Victoria,melbourne (oakleigh) (vic&#44 australia),triangle,0.066666667,4.0,240.0,street lights in the area swiched off while the obect was over head&#44they came back on as soon as the object departed.,2/12/2000,-37.813938,144.963425,24/11/2000,23:15:00
au,Victoria,campbelltown (australia),other,1.0,60.0,3600.0,UFO flew over neighbours house with object flying inside craft. Ufo&#39s play tag with each other.,28/04/2001,-37.2,143.95,26/11/1997,22:30:00
au,Queensland,brisbane (australia),circle,0.001388889,0.083333333,5.0,The U.F.O was seen flying past&#44 then dissapering. It was rather large and fast moving. It was grey/silver and had what looked like land,17/12/2011,-27.47101,153.024292,27/11/2010,12:00:00
au,Northern Territory,alice springs (australia),other,0.2,12.0,720.0,2 UFO&#39s in Central Australia with separate red flash of lights,12/12/2011,-23.697479,133.883621,27/11/2011,16:07:00
au,Western Australia,perth (western australia),light,0.083333333,5.0,300.0,Four objects seen in daylight. Looked like stars&#44 were stationary and moved as a formation.,23/12/2002,-31.95224,115.861397,28/11/2002,10:30:00
au,Queensland,mount isa (australia),triangle,0.083333333,5.0,300.0,triangle lights over mount isa during carols by candlelight,5/01/2011,-20.725229,139.497269,28/11/2010,17:30:00
au,Western Australia,yallingup (western australia),other,0.0,0.0,0.0,Recently &#44 on a holiday down in the south west of Western Australia &#44 my friends were swimming at Yallingup beach &#44 a local town in the,22/01/2000,-33.65,115.033333,29/11/1998,12:00:00
